id,mode,mode_description,scr30_percent,sample,scr36,scrambled_sec2,session,duration_main,failed_attention,scr30,scr36_percent,rate_answers,rate_correct,rate_wrong,mean_confidence,mean_confidence_right,mean_confidence_wrong,n_confident_wrong,n_confident_right,n_unconfident_wrong,n_unconfident_right,mean_ibr,precision,recall,npv,specificity,f1,age,isMale,isGrad,isUS,us_months,isEnglish,isDataOriented,char_display,icons,mode_paper
88,2,2 - Full Disclosure with intervention,90,4,33,FALSE,5,5.98995,0,27,91.66666666666667,5.008389051661533,4.5075501464953796,0.5008389051661533,1.8888888888888888,1.9696969696969697,1,0,6,3,7,0.22530864197530864,0.8888888888888888,0.9411764705882353,0.9444444444444444,0.8947368421052632,0.9142857142857143,20,1,0,1,249,1,0,2221,0,Full
195,2,2 - Full Disclosure with intervention,86.66666666666667,2,31,FALSE,5,18.5537,1,26,86.11111111111111,1.6169281598818566,1.4013377385642756,0.21559042131758088,2.0833333333333335,2.193548387096774,1.4,0,12,3,6,0.2523148148148148,0.7727272727272726,1,1,0.7368421052631579,0.8717948717948718,27,1,1,0,32,0,0,2253,0,Full
13,3,3 - Selective Disclosure,80,4,30,FALSE,5,4.971416666666666,0,24,83.33333333333333,6.034497209045041,4.827597767236033,1.2068994418090082,1.7777777777777777,1.8666666666666667,1.3333333333333333,0,7,4,11,0.18364197530864199,0.8235294117647058,0.8235294117647058,0.8421052631578947,0.8421052631578947,0.8235294117647058,19,1,0,1,228,1,0,668,607,Moderate
198,5,5 - Minimum Disclosure,80,4,30,TRUE,2,12.14105,0,24,83.33333333333333,2.4709559716828444,1.9767647773462758,0.49419119433656894,2.5555555555555554,2.6333333333333333,2.1666666666666665,1,21,0,2,0.24074074074074076,0.7894736842105264,0.8823529411764706,0.8823529411764706,0.7894736842105263,0.8333333333333333,28,1,1,0,23,1,0,0,1221,Masked
32,3,3 - Selective Disclosure,90,3,32,TRUE,1,12.0366,1,27,88.88888888888889,2.492398185534121,2.2431583669807087,0.2492398185534121,1.8611111111111112,1.9375,1.25,0,8,3,10,0.22453703703703703,0.8095238095238096,1,1,0.7894736842105263,0.8947368421052632,27,0,1,1,324,1,0,689,621,Moderate
132,4,4 - Partial Disclosure,83.33333333333333,5,31,FALSE,4,8.312,0,25,86.11111111111111,3.6092396535129936,3.007699711260828,0.6015399422521656,2.4722222222222223,2.5483870967741935,2,1,19,1,2,0.22608024691358025,0.7727272727272726,1,1,0.7368421052631579,0.8717948717948718,26,0,1,0,12,0,0,172,1130,Low
255,1,1 - Full Disclosure with no intervention,93.33333333333333,5,34,TRUE,3,7.427466666666667,0,28,94.44444444444444,4.039062219509568,3.7697914048755967,0.26927081463397123,2.361111111111111,2.4411764705882355,1,0,20,2,5,0.2662037037037037,0.9411764705882353,0.9411764705882353,0.9473684210526315,0.9473684210526315,0.9411764705882353,21,0,0,1,261,1,0,2261,0,Baseline
180,2,2 - Full Disclosure with intervention,80,7,29,FALSE,5,9.404283333333334,1,24,80.55555555555556,3.1900357461227773,2.552028596898222,0.6380071492245555,2.388888888888889,2.4482758620689653,2.142857142857143,1,13,0,0,0.2515432098765432,0.7083333333333333,1,1,0.631578947368421,0.8292682926829268,25,1,1,0,24,0,0,2202,0,Full
291,5,5 - Minimum Disclosure,83.33333333333333,4,30,FALSE,4,9.117283333333333,1,25,83.33333333333333,3.2904538449867196,2.7420448708222662,0.5484089741644532,2.1944444444444446,2.3333333333333335,1.5,1,18,4,8,0.24151234567901236,0.7894736842105264,0.8823529411764706,0.8823529411764706,0.7894736842105263,0.8333333333333333,21,1,0,1,255,1,0,0,1221,Masked
187,2,2 - Full Disclosure with intervention,96.66666666666667,8,35,FALSE,5,9.661433333333333,0,29,97.22222222222223,3.105129328636538,3.0016250176819863,0.10350431095455126,2.6944444444444446,2.742857142857143,1,0,26,1,0,0.2569444444444444,0.9444444444444444,1,1,0.9473684210526315,0.9714285714285714,21,0,1,1,256,1,1,2227,0,Full
272,1,1 - Full Disclosure with no intervention,83.33333333333333,4,31,TRUE,3,9.821933333333334,0,25,86.11111111111111,3.0543884774891565,2.545323731240964,0.5090647462481928,2.3055555555555554,2.2903225806451615,2.4,2,13,0,4,0.2322530864197531,0.7999999999999999,0.9411764705882353,0.9375,0.7894736842105263,0.8648648648648647,34,0,1,0,19,0,0,2221,0,Baseline
168,2,2 - Full Disclosure with intervention,76.66666666666667,5,29,FALSE,5,20.740716666666668,0,23,80.55555555555556,1.4464302503208262,1.1089298585793002,0.33750039174152613,1.8333333333333333,1.9655172413793103,1.2857142857142858,0,7,5,8,0.2469135802469136,0.7272727272727273,0.9411764705882353,0.9285714285714285,0.6842105263157895,0.8205128205128205,23,1,1,0,11,0,0,2261,0,Full
78,4,4 - Partial Disclosure,80,1,30,FALSE,5,10.9162,0,24,83.33333333333333,2.7482090837470916,2.198567266997673,0.5496418167494183,2.4722222222222223,2.5,2.3333333333333335,4,21,2,6,0.19675925925925927,0.7391304347826088,1,1,0.6842105263157895,0.85,26,0,1,0,7,0,1,173,1116,Low
55,1,1 - Full Disclosure with no intervention,90,5,33,TRUE,3,10.007383333333333,0,27,91.66666666666667,2.9977866342017476,2.698007970781573,0.2997786634201748,2.8333333333333335,2.878787878787879,2.3333333333333335,1,29,0,0,0.2916666666666667,0.9375,0.8823529411764706,0.8999999999999999,0.9473684210526315,0.9090909090909091,25,0,1,0,1,0,1,2261,0,Baseline
133,1,1 - Full Disclosure with no intervention,80,9,30,TRUE,3,7.620433333333334,0,24,83.33333333333333,3.936783997410471,3.1494271979283766,0.7873567994820941,2.8333333333333335,2.8666666666666667,2.6666666666666665,4,26,0,0,0.27314814814814814,0.7619047619047619,0.9411764705882353,0.9333333333333333,0.7368421052631579,0.8421052631578947,19,1,0,0,22,0,0,2266,0,Baseline
122,4,4 - Partial Disclosure,73.33333333333333,6,28,FALSE,6,8.946716666666667,0,22,77.77777777777777,3.3531854330173263,2.459002650879373,0.8941827821379538,2.2777777777777777,2.4285714285714284,1.75,1,17,3,5,0.24228395061728397,0.7647058823529411,0.7647058823529411,0.7894736842105263,0.7894736842105263,0.7647058823529412,26,0,1,0,33,0,0,165,1127,Low
197,3,3 - Selective Disclosure,80,2,30,TRUE,1,23.085216666666668,0,24,83.33333333333333,1.299532962292607,1.0396263698340857,0.25990659245852143,2.4166666666666665,2.5,2,0,15,0,0,0.2662037037037037,0.7391304347826088,1,1,0.6842105263157895,0.85,28,1,1,0,12,0,1,688,603,Moderate
